Date,Analyst,Classification,Outcome,Slack link
2026-03-26,goran.blagajac,fraud_review,redirect,
2026-03-26,goran.blagajac,fraud_review,no_action,
2026-03-26,goran.blagajac,payout_hold,enforce_reserve,
2026-03-26,goran.blagajac,payout_hold,redirect,
2026-03-26,goran.blagajac,payout_hold,redirect,
2026-03-26,sofika,payout_hold,redirect,
2026-03-27,goran.blagajac,fraud_review,terminate_fraud,
2026-03-27,goran.blagajac,fraud_review,false_positive,
2026-03-27,goran.blagajac,payout_hold,redirect,
2026-03-27,goran.blagajac,payout_hold,enforce_reserve,
2026-03-27,goran.blagajac,payout_hold,no_action,
2026-03-27,goran.blagajac,fraud_review,no_action,
2026-03-27,goran.blagajac,payout_hold,no_action,
2026-03-27,goran.blagajac,fraud_review,request_documentation,
2026-03-27,goran.blagajac,misdirected,redirect,
2026-03-27,goran.blagajac,fraud_review,terminate_fraud,
2026-03-27,sofika,resolved_lookup,false_positive,
2026-03-27,sofika,fraud_review,redirect,
2026-03-27,sofika,payout_hold,enforce_reserve,
2026-03-27,sofika,misdirected,redirect,
2026-03-30,briantambling,resolved_lookup,no_action,
2026-03-30,briantambling,fraud_review,no_action,
2026-03-30,briantambling,payout_hold,enforce_reserve,
2026-03-30,briantambling,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774861234378059
2026-03-30,briantambling,fraud_review,request_documentation,https://shopify.slack.com/archives/C032EQKDS64/p1774865923572239
2026-03-30,briantambling,payout_hold,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1774874963858749
2026-03-30,briantambling,other,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1774875535607559
2026-03-30,briantambling,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774879497417459
2026-03-30,briantambling,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774881957906229
2026-03-30,briantambling,research,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774884139645469
2026-03-30,briantambling,fraud_review,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774884278863809
2026-03-31,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1774939402574119
2026-03-31,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1774949134072639
2026-03-31,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1774950479628249
2026-03-31,briantambling,fraud_review,request_documentation,https://shopify.slack.com/archives/C032EQKDS64/p1774950718110409
2026-03-31,briantambling,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1774950942032019
2026-03-31,briantambling,fraud_review,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774952416135699
2026-03-31,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1774953160642949
2026-03-31,briantambling,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1774956136474849
2026-03-31,briantambling,fraud_review,request_documentation,https://shopify.slack.com/archives/C032EQKDS64/p1774958135305749
2026-03-31,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1774961787163289
2026-03-31,briantambling,fraud_review,request_documentation,https://shopify.slack.com/archives/C032EQKDS64/p1774963117529239
2026-03-31,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1774964461109239
2026-03-31,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1774965253967879
2026-03-31,briantambling,payout_hold,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1774966178582779
2026-03-31,briantambling,fraud_review,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774967071777329
2026-03-31,briantambling,payout_hold,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1774967780547669
2026-03-31,briantambling,fraud_review,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1774969383790239
2026-04-01,briantambling,research,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1774998072524059
2026-04-03,briantambling,fraud_review,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1775180424575759
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775203984853719
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775203984853719
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775209742815479
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775209742815479
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775209742815479
2026-04-03,briantambling,fraud_review,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1775212589291979
2026-04-03,briantambling,payout_hold,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1775214052320949
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775217073863979
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775217415458839
2026-04-03,briantambling,other,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1775217471100999
2026-04-03,briantambling,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1775222651781939
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775225761798049
2026-04-03,briantambling,payout_hold,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1775226265910769
2026-04-03,briantambling,other,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1775226438196809
2026-04-03,briantambling,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1775228102603439
2026-04-03,briantambling,fraud_review,request_documentation,https://shopify.slack.com/archives/C032EQKDS64/p1775230539250909
2026-04-03,briantambling,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1775231491412599
2026-04-13,goran.blagajac,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1776037804784509
2026-04-13,goran.blagajac,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776051671482909
2026-04-13,goran.blagajac,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1776066452332549
2026-04-13,goran.blagajac,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776067662044899
2026-04-20,sergsemenciuc,fraud_review,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1776639531750709
2026-04-20,sergsemenciuc,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776673151488069
2026-04-20,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776676084390089
2026-04-20,sergsemenciuc,resolved_lookup,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776678287440069
2026-04-20,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776680147106469
2026-04-20,sergsemenciuc,fraud_review,request_documentation,https://shopify.slack.com/archives/C032EQKDS64/p1776680255206409
2026-04-20,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776682132406109
2026-04-20,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776682132406109
2026-04-20,sergsemenciuc,fraud_review,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1776682578041339
2026-04-20,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776687368887059
2026-04-20,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776692397439489
2026-04-20,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776694065896429
2026-04-20,sergsemenciuc,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1776694065896429
2026-04-20,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776694065896429
2026-04-20,sergsemenciuc,research,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1776695712912899
2026-04-20,sergsemenciuc,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776704100450659
2026-04-21,sergsemenciuc,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776762874247469
2026-04-21,sergsemenciuc,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776764204962269
2026-04-21,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776775054129279
2026-04-21,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776775016969859
2026-04-21,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776775054129279
2026-04-21,sergsemenciuc,resolved_lookup,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1776775487115889
2026-04-21,sergsemenciuc,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1776776168217939
2026-04-21,sergsemenciuc,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1776776168217939
2026-04-21,sergsemenciuc,payout_hold,email_merchant,https://shopify.slack.com/archives/C032EQKDS64/p1776777377287069
2026-04-21,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776777377287069
2026-04-21,sergsemenciuc,research,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1776778924068139
2026-04-21,sergsemenciuc,resolved_lookup,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1776783240740749
2026-04-21,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776786419933759
2026-04-22,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776858302083729
2026-04-22,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776863977088059
2026-04-22,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776864752628489
2026-04-22,sergsemenciuc,research,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776864809788329
2026-04-22,sergsemenciuc,fraud_review,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1776867265621549
2026-04-22,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776871590211689
2026-04-22,sergsemenciuc,other,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1776871490713729
2026-04-22,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776872982618449
2026-04-23,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776950451067739
2026-04-23,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776950451067739
2026-04-23,sergsemenciuc,other,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1776951161691269
2026-04-23,sergsemenciuc,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1776951163168109
2026-04-23,sergsemenciuc,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1776951500198399
2026-04-23,sergsemenciuc,fraud_review,terminate_fraud,https://shopify.slack.com/archives/C032EQKDS64/p1776952095008519
2026-04-23,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1776958744215949
2026-04-24,sergsemenciuc,payout_hold,enforce_reserve,https://shopify.slack.com/archives/C032EQKDS64/p1777029901941419
2026-04-24,sergsemenciuc,fraud_review,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1777034826797669
2026-04-24,sergsemenciuc,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1777040614667479
2026-04-24,sergsemenciuc,resolved_lookup,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1777042056370909
2026-04-24,sergsemenciuc,resolved_lookup,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1777042316304789
2026-04-24,sergsemenciuc,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1777043873388319
2026-04-24,sergsemenciuc,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1777045333597919
2026-04-24,sergsemenciuc,payout_hold,enable_transfers,https://shopify.slack.com/archives/C032EQKDS64/p1777044519601229
2026-04-27,sergsemenciuc,idv_routing,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1777300221373559
2026-04-27,sergsemenciuc,fraud_review,flagged_to_oncall,https://shopify.slack.com/archives/C032EQKDS64/p1777300225901149
2026-04-27,sergsemenciuc,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1777300361775009
2026-04-27,sergsemenciuc,fraud_review,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1777301869837009
2026-04-27,sergsemenciuc,idv_routing,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1777303554274939
2026-05-05,danielhealey,other,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1777995876236559
2026-05-05,danielhealey,payout_hold,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1777996510147509
2026-05-05,goran.blagajac,fraud_review,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1777932438001809
2026-05-05,goran.blagajac,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1777948215192179
2026-05-05,goran.blagajac,resolved_lookup,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1777949394061729
2026-05-12,sergsemenciuc,idv_routing,no_action,https://shopify.slack.com/archives/C032EQKDS64/p1778594314089669
2026-05-12,sergsemenciuc,misdirected,flagged_to_oncall,https://shopify.slack.com/archives/C032EQKDS64/p1778595896337709
2026-05-12,sergsemenciuc,misdirected,flagged_to_oncall,https://shopify.slack.com/archives/C032EQKDS64/p1778596720522109
2026-05-12,sergsemenciuc,payout_hold,enabled_payouts,https://shopify.slack.com/archives/C032EQKDS64/p1778597040687259
2026-07-27,sergsemenciuc,payout_hold,enable_payouts_refunds,https://shopify.slack.com/archives/C032EQKDS64/p1785119127417829
2026-07-27,sergsemenciuc,misdirected_ato,false_positive,https://shopify.slack.com/archives/C032EQKDS64/p1785129703152869
2026-07-27,sergsemenciuc,payout_hold,enabled_payouts,https://shopify.slack.com/archives/C032EQKDS64/p1785151599607609
2026-07-27,sergsemenciuc,payout_hold,enabled_payouts,https://shopify.slack.com/archives/C032EQKDS64/p1785152069352779
2026-07-27,sergsemenciuc,payout_hold,enabled_payouts,https://shopify.slack.com/archives/C032EQKDS64/p1785152407620069
2026-07-27,sergsemenciuc,payout_hold,enabled_payouts,https://shopify.slack.com/archives/C032EQKDS64/p1785155681377649
2026-07-27,sergsemenciuc,fraud_review,terminate_card_cashing_drafted,https://shopify.slack.com/archives/C032EQKDS64/p1785156782688789
2026-07-27,sergsemenciuc,ring-investigation,SIDDINNA+MARRVELLA deceptive NITS ring: TP-26625426 note 12594439 + reject draft 164995771, TP-26625417 note 12594440 + reject draft 164995776 (DECEPTIVE_MERCHANT, revoke payouts, blocklist); notes reflect deceptive-MO rationale,https://shopify.slack.com/archives/C032EQKDS64/p1785157230645789
2026-07-27,sergsemenciuc,ba-update-funds-release,enabled: DRYFT 99848126806, hold expired 2026-07-28, TP-26626131 note 12594784 draft 165010170,https://shopify.slack.com/archives/C032EQKDS64/p1785158511057229
2026-07-27,sergsemenciuc,score-check-confirm,confirmed accurate: NOOSHAM 105220505945 AOF fraud watch + s5 billing-card links to AOF-terminated shops + elevated IDV fraud signals; TP-26626352 note 12594842, no action,https://shopify.slack.com/archives/C032EQKDS64/p1785161467082829
2026-07-27,sergsemenciuc,bank-change-next-steps,no fraud hold remains: BRITTANY-BE 65365278851 card-cashing term 2025-07-11, reserve expired 2026-07-11, payouts auto-re-enabled same day (BQ verified); Shop note 12594963 (TP-26451498 on hold w/ Jason, claim not authorized); AS proceeds with bank change,https://shopify.slack.com/archives/C032EQKDS64/p1785161930906569
2026-07-27,sergsemenciuc,ba-update-payout-release,CZ card-cashing ring shop 75810767194: reserve expired 2024-05-22, ~EUR 9.2k clear to release; SP legacy Stripe (rejected.fraud) so Stripe outreach required to enable transfers; TP-26626721 claimed, note 12595090, fraud_slack tag,https://shopify.slack.com/archives/C032EQKDS64/p1785162839954299
2026-07-27,sergsemenciuc,idv-failure-ask,AOF auto-termination stands (shop 69695635504 Crown Sports GB): created from Lahore PK, s5 bank links to 3 NITS-terminated shops, 65-shop network; IDV error expected, no resubmission help; Serg requested merchant details for appeal; TP-26584657 claimed, note 12596157, fraud_slack tag,https://shopify.slack.com/archives/C032EQKDS64/p1785167558176129
2026-07-28T09:23:07Z,case 15,thread p1785187128513839 (Adeola Shoberu),shop 2749005876 sufi magic,SP reconsideration ask -> CR lane, active TP-25870797 (cr_sp_reconsideration) awaiting merchant docs since Jun 23
2026-07-28T11:02:00Z,case 16,thread p1785191865409559 (Jackie Cunard),shop 83174457658 Owners Pride Car Care,ZD 69132747 Stripe Issuing residency ask -> non-fraud, no Balance but active Shopify Credit 24762 (Stripe Issuing); routed toward #policy-ops-mp (Money Policy Ops handle Stripe banking-partner requests)
2026-07-28T11:30:00Z,case-17,thread p1785202418621929 (Kerrin Moore, supportability),shop 99401400610 Athlora,verdict: deceptive NITS confirmed via pricing verification (Polar Monkeys $10,990→€569, ENGWE 31% below official EU) + live checkout probe + public records (residential GA address, no company registration)
2026-07-28T12:00:00Z,case-18,thread p1785210046581579 (Dorota Buocikova),shop 101034787159 Nexu FR,BA-update transfers disable = automatic bank-change security control, NOT fraud hold: termination supportability-owned (2026-05-18, IPTV reseller, tkt 22755f9e) with payout holds lifted; payout capability ACTIVE per BQ; card_cashing 374bbe9f FP'd Apr; AO-verified bank change (LU→IE EMI IBAN)
2026-07-28T12:15:00Z,case-19,thread p1785216541213909 (Dexter De Ere),shop 85526315326 (no TP history),partner threat-intel: public Telegram card-testing scripts claiming checkout session-protection bypass; no attack on own store; verdict: not Fraud Ops enforcement — Buyer Risk/Risk Engineering own card-testing defenses (Payment Authenticity Check, captcha, rate limits)
2026-07-28T12:22:00Z,case-20,thread p1785224258493219 (Jacinta Stafford, retail support),shop 69493227748 TrendyBabyNeeds,BA-update payout hold = automatic bank-change control (merchant_updated_bank_account), NOT new fraud hold: card cashing termination 2025-03-17, 365d reserve expired, release already cleared 2026-07-08 (Marek) + 2026-07-14 (Paul, BQ-confirmed); 3rd bank change in 3 weeks re-triggered auto-disable
2026-07-28T12:35:00Z,case-21,thread p1785233829612189 (Damien Barrett, support),shops 2487892 C W Sellors + 1257792 Jura Watches (same group),card enumeration reaching checkout payment step on non-SP gateway (Cybersource): 104 card events vs 13 real sessions Jul 20, ~75-80% never touched storefront, myshopify.com hostname bypasses merchant WAF, 3-4 weeks, nothing reached 3DS/auth
2026-07-28T14:10:00Z,case-22,thread p1785235543369789 (Account Security, W018GBJ7F53),ring: shopifystore*@outlook.com card-cashing / ATO cash-out farm,AS reported confirmed ATO (ticket 26637064, shop 97957282072, $1,108 out of Balance) + attacker device group 2425466954 (66 shops); ES expansion via owner_email/shop_insights wildcards + farm signup IPs 185.215.227.11/45.42.201.16 → ~108 shops, two waves (2026 "My Store" staging farm; 2024 AOF clothing farm on proxy ranges)
2026-07-28T14:25:00Z,case-23,thread p1785237627516449 (Julie Roy Ferris, Account Security),shop 76941754682 "My Store" CZ,BA-update payout-release: card-cashing termination 2023-05-25 stands (MAF appeal upheld 2026-07-13, escalated for BA update), 365d hold expired 2024-05-24 — clear to release; EUR 9,060.26 on legacy Stripe acct_1NBVvXRjAv8ENXcL (BQ-verified, invisible in TP/SP-Next); same 2023 CZ cohort as TP-26626721 (reserves expired 2 days apart)
2026-07-28,sergsemenciuc,misdirected,redirect,https://shopify.slack.com/archives/C032EQKDS64/p1785237072974259
2026-07-28,sergsemenciuc,card_cashing_review,claim+req_docs_draft_165528879+note_12602190+no_override_reply,https://shopify.slack.com/archives/C032EQKDS64/p1785237417840859
2026-07-28,sergsemenciuc,payout_hold_partner_validation,claim+note_12602387+ato_check_pending+stripe_reply_drafted,https://shopify.slack.com/archives/C032EQKDS64/p1785240218285379
2026-07-28,sergsemenciuc,ba_update_payout_release,claim+enable_draft_165538921+note_12602487,https://shopify.slack.com/archives/C032EQKDS64/p1785243466592259
2026-07-28T14:50:00Z,case-27,thread p1785244503177179 (Lan Gan, support),shop 68424925338 KAREN (n8v4kg-fb.myshopify.com),BA-update payout-release: card-cashing termination 2025-07-17 stands (appeal denied 2026-07-14 tkt 20054149, Goran), 365d hold expired 2026-07-17, bank updated 2026-07-20 (Citibank, ZD 69056270) — clear to release $2,666.96
2026-07-28,sergsemenciuc,admin_access_request_denied,note_only_12602551_no_claim+privacy_legal_redirect,https://shopify.slack.com/archives/C032EQKDS64/p1785246070837349
2026-07-28,sergsemenciuc,residual_fraud_hold_after_fp,serg_enabled_payouts_tkt_26649523+note_12602977+fraud_slack,https://shopify.slack.com/archives/C032EQKDS64/p1785248096883479
2026-07-28,sergsemenciuc,fraud_hold_confirmed_stands_idv_incomplete,note_12603695+fraud_slack_tkt_23751596_no_action,https://shopify.slack.com/archives/C032EQKDS64/p1785251391898219
2026-07-28,sergsemenciuc,non_fraud_tos_rejection_redirect,fp_draft_165612509+note_12604149+fraud_slack_tkt_26651474,https://shopify.slack.com/archives/C032EQKDS64/p1785254149277739
2026-07-29,sergsemenciuc,ato_cluster_review_account_security,notes_12609447+12609448+12609449+12609454+12609462_tkts_26666357_26666439_26666457_26666498+shop_note_plantas_104128708947,https://shopify.slack.com/archives/C032EQKDS64/p1785276329320279
2026-07-29,sergsemenciuc,as_referral_card_cashing_respin_termination,note_12609539+fraud_slack_tkt_26666703+term_draft_166073697_shop_72568832102,https://shopify.slack.com/archives/C032EQKDS64/p1785294399767319
2026-07-29,sergsemenciuc,ato_mule_cashing_closure_jessica_as,claim+term_draft_166072048+note_12609531+fraud_slack_tkt_26666621_shop_93242032508,https://shopify.slack.com/archives/C032EQKDS64/p1785287715198509
2026-07-29,sergsemenciuc,as_referral_staged_sp_reject_ato_possible,claim+reject_draft_166076584+note_12609599+fraud_slack_tkt_26666775_shop_68460937329,https://shopify.slack.com/archives/C032EQKDS64/p1785296084144359
2026-07-29,sergsemenciuc,mv_final_payout_question_fp_fraud_ticket,claim+fp_draft_166080445+note_12609647+fraud_slack_tkt_26666995_shop_63958778080,https://shopify.slack.com/archives/C032EQKDS64/p1785314846664289
2026-07-29,sergsemenciuc,as_referral_deceptive_nits_brand_impersonation_termination,claim+term_draft_166081627+note_12609656+fraud_slack_tkt_26663366_shop_96313901240,https://shopify.slack.com/archives/C032EQKDS64/p1785316069109479
2026-07-29,sergsemenciuc,doc_review_fp_clear_hold_enable_payouts_pos_luxury_resale,claim+enable_draft_166112639+note_12609787+fraud_slack_tkt_26452584_shop_106014933322,https://shopify.slack.com/archives/C032EQKDS64/p1785323926152069
2026-07-29,sergsemenciuc,ba_update_payout_release_hold_expired_reverified,claim+enable_draft_166080402+note_12609644+shop_note_12609625_correction+fraud_slack_tkt_26666941_shop_63744803001,https://shopify.slack.com/archives/C032EQKDS64/p1785324786933349
2026-07-29,sergsemenciuc,orphaned_fp_hold_payout_release_idv_verified,claim+enable_draft_166091702+note_12609719+fraud_slack_tkt_26672888+investigation_note_12609659_tkt_24884667_shop_91001454880,https://shopify.slack.com/archives/C032EQKDS64/p1785316069613319
2026-07-29,sergsemenciuc,sp_reinstatement_ask_credit_risk_appeal_in_flight,claim+fp_draft_166112298+note_12609782+fraud_slack_tkt_26673226+shop_note_12609725_shop_79462760794,https://shopify.slack.com/archives/C032EQKDS64/p1785318663040339
2026-07-29,sergsemenciuc,failed_payout_stuck_enable_never_took_effect_cr_release_preapproved,note_12609988_tkt_26673693_shop_69424316646+stripe_dash_enable_acct_1SwHBPLuOsn0dmgC,https://shopify.slack.com/archives/C032EQKDS64/p1785327711332069
2026-07-29,sergsemenciuc,primefold_bustout_cluster_notes,note_12609917_update_tkt_26673525_shop_97784824185+note_12609975_tkt_26673630_shop_98803646806,mavrik-find-3-primefold
2026-07-29,sergsemenciuc,saltish_bustout_cashing_investigation_note,note_12610147_tkt_26674014_shop_93850239241,mavrik-find-2-saltish
2026-07-29,sergsemenciuc,saltish_preburst_staging_preemptive_sp_reject,claim+reject_draft_166163388+note_12610530_tkt_26674727_shop_65020854337,mavrik-find-2-saltish
2026-07-29,sergsemenciuc,paypal_partner_referral_6_accounts_mapped,all_6_paypal_ids_mapped_to_shops_all_pre_terminated_shops_99903045971+91942420822+91267072349+94918803793+72800764168+98426945911,slack-1785334916.198569
